VMname	RGname	subnet	nic
Urban-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Urban-VM01-nic01
Wallace-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Wallace-VM01-nic01
Washington-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Washington-VM01-nic01
Webb-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Webb-VM01-nic01
Welch-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Welch-VM01-nic01
Williams-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Williams-VM01-nic01
Williams-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Williams-VM01-nic01
Worley-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Defense	Worley-VM01-nic01
Zeitler-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Zeitler-VM01-nic01
Bateman-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Bateman-VM01-nic01
Boyle-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Boyle-VM01-nic01
Cleveland-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Cleveland-VM01-nic01
Davis-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Davis-VM01-nic01
Dobbins-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Dobbins-VM01-nic01
Drake-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Drake-VM01-nic01
Duvernay-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Duvernay-VM01-nic01
Faalele-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Faalele-VM01-nic01
Hill-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Hill-VM01-nic01
Huntley-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Huntley-VM01-nic01
Jackson-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Jackson-VM01-nic01
